"activity_b","activity_a","micromorts_a","category_a","hedgeable_pct_a","period_a","micromorts_b","category_b","hedgeable_pct_b","period_b","ratio","pair_type","answer","description_a","help_url_a","description_b","help_url_b"
"Daily diarrheal mortality risk (Nigeria)","Daily diarrheal mortality risk (UK)",0.02,"Disease",0,"per day",0.88,"Disease",0,"per day",44,"cross_country","b","Age-standardised daily diarrheal disease mortality in the UK (IHME GBD 2023). Effectively zero in high-income countries with clean water.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily cancer mortality risk (India)","Daily cancer mortality risk (US)",3.15,"Disease",0,"per day",2.3,"Disease",0,"per day",1.3695652173913,"cross_country","a","Age-standardised daily cancer mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in India (IHME GBD 2023). Lower rate than high-income countries, partly due to different risk factor prevalence.","https://ourworldindata.org/grapher/cancer-death-rates"
"COVID-19 monovalent vaccine (age 80+)","Daily CVD mortality risk (Nigeria)",7.33,"Disease",0,"per day",55,"COVID-19",0,"11 weeks (2022)",7.50341064120055,"disease_vs_acute","b","Age-standardised daily cardiovascular disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Even with monovalent vaccination, elderly remained at elevated COVID-19 risk in 2022.","https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm"
"Daily CVD mortality risk (India)","Daily CVD mortality risk (US)",3.95,"Disease",0,"per day",7.65,"Disease",0,"per day",1.93670886075949,"cross_country","b","Age-standardised daily cardiovascular disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Age-standardised daily cardiovascular disease mortality in India (IHME GBD 2023). India's CVD rate is roughly double that of high-income countries.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate"
"Daily cancer mortality risk (India)","Daily cancer mortality risk (UK)",3.95,"Disease",0,"per day",2.3,"Disease",0,"per day",1.71739130434783,"cross_country","a","Age-standardised daily cancer (all neoplasms) mortality in the UK (IHME GBD 2023). UK has one of the highest cancer death rates globally.","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in India (IHME GBD 2023). Lower rate than high-income countries, partly due to different risk factor prevalence.","https://ourworldindata.org/grapher/cancer-death-rates"
"Daily diarrheal mortality risk (US)","Daily diarrheal mortality risk (UK)",0.02,"Disease",0,"per day",0.04,"Disease",0,"per day",2,"cross_country","b","Age-standardised daily diarrheal disease mortality in the UK (IHME GBD 2023). Effectively zero in high-income countries with clean water.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily LRI mortality risk (US)","Daily LRI mortality risk (UK)",0.53,"Disease",0,"per day",0.29,"Disease",0,"per day",1.82758620689655,"cross_country","a","Age-standardised daily lower respiratory infection (pneumonia) mortality in the UK (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
"Daily diarrheal mortality risk (India)","Daily diarrheal mortality risk (US)",0.04,"Disease",0,"per day",1.28,"Disease",0,"per day",32,"cross_country","b","Age-standardised daily diarrheal disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in India (IHME GBD 2023). Reflects gaps in sanitation and clean water access.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily cancer mortality risk (US)","Daily cancer mortality risk (Nigeria)",2.79,"Disease",0,"per day",3.15,"Disease",0,"per day",1.12903225806452,"cross_country","b","Age-standardised daily cancer mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates"
"Daily LRI mortality risk (India)","Daily LRI mortality risk (UK)",0.53,"Disease",0,"per day",1.09,"Disease",0,"per day",2.05660377358491,"cross_country","b","Age-standardised daily lower respiratory infection (pneumonia) mortality in the UK (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in India (IHME GBD 2023). LRI is a leading cause of death in low-income settings.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
